timestamp,AvgTicketPrice,Carrier,dayOfWeek,Dest,DestAirportID,DestCityName,DestRegion,DestWeather,DistanceKilometers,DistanceMiles,FlightDelayMin,FlightDelayType,FlightNum,FlightTimeHour,FlightTimeMin,Origin,OriginAirportID,OriginCityName,OriginCountry,OriginRegion,OriginWeather,DestCountry,FlightDelay,Cancelled
"Sep 17, 2023 @ 10:44:09.000",719.124,ES-Air,6,Ottawa Macdonald-Cartier International Airport,YOW,Ottawa,CA-ON,Thunder & Lightning,"10,597.93","6,585.25",0,No Delay,M6KH81R,11.77547852,706.529,Itami Airport,ITM,Osaka,JP,SE-BD,Hail,CA,FALSE,FALSE
"Sep 17, 2023 @ 10:42:20.000",685.374,Logstash Airways,6,Winnipeg / James Armstrong Richardson International Airport,YWG,Winnipeg,CA-MB,Cloudy,"7,379.45","4,585.38",0,No Delay,YWNQWY2,8.199386689,491.963,Verona Villafranca Airport,VR10,Verona,IT,IT-34,Damaging Wind,CA,FALSE,FALSE
"Sep 17, 2023 @ 10:39:34.000",454.557,ES-Air,6,Tulsa International Airport,TUL,Tulsa,US-OK,Rain,"1,659.64","1,031.25",0,No Delay,C332TSV,1.536698827,92.202,Richmond International Airport,RIC,Richmond,US,US-VA,Cloudy,US,FALSE,FALSE
"Sep 17, 2023 @ 10:25:59.000",948.145,Kibana Airlines,6,Zurich Airport,ZRH,Zurich,CH-ZH,Rain,"4,773.28","2,965.98",0,No Delay,PCAA3GO,4.419706638,265.182,Dubai International Airport,DXB,Dubai,AE,SE-BD,Sunny,CH,FALSE,FALSE
"Sep 17, 2023 @ 10:11:07.000",849.718,Kibana Airlines,6,Kansai International Airport,KIX,Osaka,SE-BD,Sunny,"10,354.49","6,433.98",0,No Delay,H4AIIMR,12.32677028,739.606,Barcelona International Airport,BCN,Barcelona,ES,ES-CT,Rain,JP,FALSE,FALSE
"Sep 17, 2023 @ 10:08:51.000",985.928,JetBeats,6,Munich Airport,MUC,Munich,DE-BY,Cloudy,"15,441.98","9,595.20",0,No Delay,M3JJHF2,12.86831562,772.099,Adelaide International Airport,ADL,Adelaide,AU,SE-BD,Sunny,DE,FALSE,FALSE
"Sep 17, 2023 @ 10:07:52.000","1,106.16",JetBeats,6,Sydney Kingsford Smith International Airport,SYD,Sydney,SE-BD,Cloudy,"8,309.33","5,163.18",0,No Delay,LL7XXP5,7.288886182,437.333,Gimpo International Airport,GMP,Seoul,KR,SE-BD,Clear,AU,FALSE,FALSE
"Sep 17, 2023 @ 09:59:45.000",715.397,Kibana Airlines,6,Zurich Airport,ZRH,Zurich,CH-ZH,Cloudy,"1,033.43",642.141,0,No Delay,KFVIHZF,0.820179098,49.211,Warsaw Chopin Airport,WAW,Warsaw,PL,PL-MZ,Cloudy,CH,FALSE,FALSE
"Sep 17, 2023 @ 09:57:25.000","1,080.89",Kibana Airlines,6,Oslo Gardermoen Airport,OSL,Oslo,NO-02,Rain,"6,280.20","3,902.34",360,NAS Delay,CF2YRCN,14.72250322,883.35,Duluth International Airport,DLH,Duluth,US,US-MN,Damaging Wind,NO,TRUE,FALSE
"Sep 17, 2023 @ 09:48:19.000","1,055.20",ES-Air,6,Ukrainka Air Base,XHBU,Belogorsk,RU-AMU,Clear,"5,892.20","3,661.24",0,No Delay,ZFUCKZM,8.927575905,535.655,Helsinki Vantaa Airport,HEL,Helsinki,FI,FI-ES,Rain,RU,FALSE,FALSE
